Index,Red,Green,Blue
0,768,778,769,
1,0,1,0,
2,0,1,0,
3,0,5,0,
4,0,6,0,
5,0,5,0,
6,0,3,0,
7,0,10,0,
8,0,7,0,
9,1,5,0,
10,0,7,3,
11,1,4,0,
12,3,11,2,
13,5,13,2,
14,6,18,3,
15,19,28,2,
16,15,86,5,
17,99,123,10,
18,391,210,8,
19,873,473,8,
20,313,676,6,
21,1067,726,15,
22,749,411,9,
23,866,545,15,
24,456,462,18,
25,479,506,21,
26,478,668,27,
27,479,585,69,
28,771,585,88,
29,570,760,219,
30,560,633,381,
31,661,784,598,
32,634,696,663,
33,943,933,334,
34,553,738,796,
35,712,891,575,
36,677,586,703,
37,599,476,522,
38,1101,377,508,
39,800,422,506,
40,516,473,755,
41,464,545,572,
42,623,536,580,
43,509,668,526,
44,348,669,554,
45,324,483,588,
46,354,444,512,
47,424,448,418,
48,362,375,419,
49,309,387,459,
50,371,394,364,
51,356,376,342,
52,453,380,402,
53,343,416,394,
54,346,352,471,
55,405,348,473,
56,463,353,519,
57,603,378,549,
58,452,374,621,
59,507,318,565,
60,553,364,621,
61,722,352,841,
62,663,415,940,
63,740,461,735,
64,716,447,699,
65,711,561,842,
66,1177,529,780,
67,868,570,782,
68,894,561,835,
69,1004,637,903,
70,1166,697,900,
71,1856,759,1025,
72,1399,773,1034,
73,1430,928,1124,
74,1438,908,1353,
75,1859,1022,1557,
76,2652,1001,1676,
77,1874,1217,2144,
78,1880,1228,2102,
79,2187,1524,2064,
80,2262,1626,2325,
81,2958,1663,2351,
82,1941,1568,2422,
83,2711,1681,2285,
84,2882,1807,2247,
85,3903,1755,2561,
86,4039,1845,2723,
87,4495,1926,3342,
88,4922,1942,3091,
89,4708,2197,3590,
90,6895,2230,4008,
91,5774,2174,3856,
92,5134,2382,4006,
93,4852,2742,3940,
94,6204,2974,4349,
95,6823,2952,4522,
96,4975,3644,4613,
97,5502,3640,4405,
98,4586,3573,4540,
99,9605,7764,7962,
100,6013,4718,4037,
101,4589,3674,4636,
102,4817,3466,3861,
103,5032,3986,4488,
104,6472,4010,4385,
105,6130,3774,4495,
106,5103,3926,3951,
107,4870,4403,4372,
108,4896,4171,4100,
109,6222,4402,4748,
110,4395,4683,4213,
111,4452,4482,3917,
112,3095,4844,4120,
113,3335,4831,4277,
114,4111,4802,4876,
115,3651,5136,4308,
116,2376,5424,3971,
117,2667,6169,4671,
118,2758,5414,4590,
119,2889,5677,4902,
120,3069,6348,4941,
121,2613,6116,5280,
122,2260,6143,6002,
123,2787,6870,6561,
124,3402,6636,5574,
125,2876,6027,5961,
126,2388,5670,6608,
127,3062,4904,5399,
128,3454,4749,5084,
129,3897,4165,4989,
130,2961,3618,5069,
131,3311,3462,4336,
132,3304,3166,3868,
133,3898,2898,3856,
134,3598,2601,3587,
135,3261,2789,3580,
136,2768,2906,3178,
137,2783,2288,3025,
138,3990,2400,3014,
139,3054,2805,3480,
140,2585,2556,3478,
141,2920,2350,3840,
142,2592,2850,3637,
143,3520,2630,3428,
144,2639,2609,3693,
145,2793,2720,3794,
146,2670,2750,3465,
147,2211,2464,3679,
148,3598,2774,3367,
149,2867,2639,3471,
150,2424,2437,3413,
151,1763,2582,3531,
152,2480,2701,3143,
153,2737,2357,3731,
154,1573,2281,3201,
155,1629,2795,3474,
156,1727,2812,3114,
157,1447,2182,2853,
158,2202,2593,2838,
159,1577,2787,2418,
160,1481,2264,1966,
161,1304,2539,2001,
162,1784,2526,1741,
163,1473,2598,1531,
164,1181,2475,1163,
165,1106,2687,1100,
166,1245,2758,1260,
167,1718,2687,886,
168,1087,2332,757,
169,1016,2261,708,
170,1244,2024,749,
171,1057,1810,781,
172,1531,1617,757,
173,995,1507,593,
174,1127,1496,594,
175,907,1494,566,
176,1010,1394,581,
177,1391,1492,576,
178,830,1104,506,
179,799,1446,483,
180,906,1235,457,
181,849,1357,450,
182,1132,1162,424,
183,775,1192,382,
184,878,1053,355,
185,663,1030,408,
186,1092,956,437,
187,736,902,351,
188,763,746,340,
189,601,959,341,
190,568,944,379,
191,768,669,369,
192,553,770,332,
193,496,681,291,
194,474,623,259,
195,445,623,310,
196,587,553,271,
197,361,576,238,
198,406,526,233,
199,362,521,238,
200,325,499,239,
201,496,567,229,
202,359,430,158,
203,357,412,153,
204,297,397,165,
205,365,453,147,
206,417,380,167,
207,301,369,126,
208,247,393,152,
209,246,354,122,
210,342,343,151,
211,223,306,120,
212,164,317,98,
213,199,296,130,
214,172,323,99,
215,230,319,97,
216,151,284,99,
217,142,294,87,
218,127,314,86,
219,139,268,79,
220,179,226,95,
221,113,216,62,
222,124,205,67,
223,123,194,70,
224,106,178,72,
225,170,173,68,
226,93,163,73,
227,96,141,64,
228,97,159,60,
229,97,142,73,
230,132,140,66,
231,96,132,76,
232,94,113,79,
233,84,115,67,
234,108,102,81,
235,96,102,86,
236,82,109,95,
237,87,123,64,
238,82,114,88,
239,82,92,81,
240,66,104,57,
241,56,114,100,
242,64,97,66,
243,53,91,89,
244,66,103,40,
245,42,81,64,
246,67,83,61,
247,50,71,47,
248,55,67,37,
249,75,71,46,
250,48,68,40,
251,51,66,44,
252,44,59,41,
253,48,58,39,
254,78,63,37,
255,3508,3742,1112,
Means,116.65,125.77,119.27
STD,40.37,40.91,33.89
