Index,Red,Green,Blue
0,768,779,822,
1,0,8,53,
2,0,28,68,
3,0,47,70,
4,0,73,84,
5,0,157,128,
6,0,213,223,
7,0,341,435,
8,0,405,265,
9,0,208,271,
10,0,109,257,
11,28,118,254,
12,2,113,273,
13,83,117,421,
14,69,127,473,
15,4,183,582,
16,66,182,772,
17,12,172,975,
18,53,256,1465,
19,55,334,2294,
20,22,310,3116,
21,74,376,3073,
22,24,541,3690,
23,100,592,4249,
24,85,750,4337,
25,31,925,4968,
26,98,1281,5067,
27,37,1547,5055,
28,88,2130,4719,
29,69,3099,5090,
30,41,4012,5345,
31,70,4951,4713,
32,43,6347,4546,
33,54,7082,4560,
34,104,8181,4004,
35,73,7701,4907,
36,72,7032,4424,
37,79,6842,4064,
38,83,6001,3346,
39,93,5699,4249,
40,62,5471,3805,
41,76,5102,3215,
42,75,4481,2928,
43,95,4322,3504,
44,134,4061,3018,
45,78,3644,3704,
46,113,3631,2925,
47,111,3360,3345,
48,143,3316,2951,
49,164,3039,3234,
50,122,2952,2641,
51,116,2786,2690,
52,141,2896,2688,
53,170,2681,2787,
54,231,2493,2564,
55,144,2487,2680,
56,211,2354,2499,
57,246,2506,2780,
58,298,2557,2265,
59,289,2562,2736,
60,358,2665,2474,
61,372,2849,2365,
62,316,2475,2748,
63,651,2433,2782,
64,531,2333,2583,
65,443,2421,2527,
66,424,2201,3108,
67,623,2517,2899,
68,740,2686,3111,
69,651,2528,2943,
70,637,2532,2992,
71,572,2478,3385,
72,636,2418,4050,
73,808,2338,2876,
74,713,2265,3337,
75,702,2353,3710,
76,766,2111,3549,
77,888,2327,3310,
78,1103,2376,3044,
79,1046,2537,3317,
80,960,2077,2468,
81,1201,2466,3207,
82,1281,2525,2977,
83,1550,2864,3122,
84,1657,2371,2798,
85,1298,2762,2670,
86,1844,2927,3168,
87,1899,2453,3126,
88,2132,2799,2780,
89,2044,3042,2270,
90,2132,3270,3199,
91,1923,2504,3479,
92,2801,3021,3463,
93,2810,2728,2581,
94,2089,2677,3331,
95,2463,2547,3305,
96,2160,2609,4264,
97,3264,2733,2919,
98,3365,2514,2481,
99,5768,5294,6502,
100,2968,2228,3218,
101,3227,2055,3710,
102,3365,2153,2170,
103,3728,2281,2714,
104,2755,2106,2547,
105,3047,2200,2400,
106,3794,2234,2652,
107,3888,2414,2644,
108,4235,2763,2262,
109,3106,2840,1806,
110,4077,2611,2664,
111,4755,2550,2167,
112,4014,2794,1934,
113,4571,2741,1432,
114,4186,2502,2101,
115,4128,2656,1891,
116,5355,2847,1972,
117,4744,2887,1367,
118,5098,2508,1494,
119,4508,3001,2059,
120,5012,2822,1505,
121,5096,2561,1412,
122,4812,2689,1375,
123,5756,2515,1567,
124,4414,2505,1317,
125,5881,2554,1824,
126,4882,2489,1415,
127,5479,2376,1114,
128,5254,2186,1556,
129,4436,2547,1615,
130,5551,2569,1374,
131,4750,2340,880,
132,4456,2290,1256,
133,5288,2301,1172,
134,4855,2393,1168,
135,5777,2134,687,
136,5218,1734,890,
137,4671,1967,981,
138,5437,1873,1181,
139,4973,1490,752,
140,5506,1581,686,
141,4540,1738,998,
142,4366,1520,1088,
143,4617,1319,950,
144,4691,1551,599,
145,4517,1566,944,
146,3799,1656,941,
147,3954,1707,1116,
148,4168,1888,741,
149,4324,1510,833,
150,3408,1495,883,
151,3171,1438,597,
152,2823,1518,1018,
153,3291,1370,812,
154,3218,1145,778,
155,2606,1224,682,
156,2277,1083,808,
157,2488,930,605,
158,2737,894,740,
159,2435,865,563,
160,2046,800,479,
161,2200,765,614,
162,2321,706,808,
163,2511,729,559,
164,2440,582,455,
165,2032,516,827,
166,2057,490,1084,
167,2171,483,670,
168,2541,425,784,
169,1953,450,918,
170,1890,438,564,
171,1737,424,848,
172,1721,443,431,
173,1935,472,573,
174,1656,434,503,
175,1514,413,622,
176,1401,437,454,
177,1522,363,368,
178,1760,397,418,
179,1645,416,384,
180,1542,368,423,
181,1212,305,362,
182,1415,244,364,
183,1583,242,341,
184,1176,236,371,
185,1359,227,322,
186,1158,191,350,
187,1317,204,336,
188,1195,169,262,
189,1054,202,368,
190,978,176,424,
191,973,181,400,
192,1333,205,225,
193,1004,179,319,
194,854,133,367,
195,931,126,398,
196,875,158,220,
197,979,160,284,
198,686,174,304,
199,704,187,317,
200,601,226,233,
201,696,139,189,
202,784,141,242,
203,574,126,266,
204,533,101,221,
205,543,55,152,
206,514,48,276,
207,617,44,196,
208,443,40,195,
209,508,52,253,
210,472,34,229,
211,553,55,214,
212,557,37,106,
213,449,48,241,
214,525,36,231,
215,470,39,125,
216,556,54,82,
217,363,42,115,
218,346,37,118,
219,237,47,44,
220,246,41,61,
221,281,30,63,
222,219,27,44,
223,204,35,40,
224,184,27,64,
225,232,28,51,
226,223,22,39,
227,144,26,42,
228,167,33,54,
229,156,29,67,
230,149,27,52,
231,143,21,54,
232,107,28,55,
233,107,18,73,
234,104,26,30,
235,119,28,54,
236,114,32,42,
237,77,39,52,
238,62,18,35,
239,80,16,51,
240,78,21,35,
241,68,27,48,
242,48,20,39,
243,40,30,33,
244,44,28,53,
245,57,22,46,
246,42,30,39,
247,31,26,25,
248,30,29,26,
249,32,29,33,
250,38,23,21,
251,18,23,33,
252,12,31,19,
253,23,21,29,
254,19,43,24,
255,193,811,329,
Means,132.89,85.13,79.38
STD,34.39,43.76,45.30
