Index,Red,Green,Blue
0,767,767,826,
1,0,0,13,
2,0,0,25,
3,0,0,29,
4,0,0,45,
5,0,0,51,
6,0,0,49,
7,0,0,63,
8,0,0,63,
9,0,0,103,
10,0,0,101,
11,0,0,137,
12,0,0,168,
13,0,1,164,
14,0,0,195,
15,0,0,231,
16,0,2,274,
17,0,2,265,
18,0,1,339,
19,0,5,329,
20,0,2,370,
21,0,8,469,
22,1,6,543,
23,0,9,627,
24,4,12,550,
25,1,17,1015,
26,3,18,1354,
27,3,26,1685,
28,10,35,936,
29,6,45,1903,
30,21,65,2383,
31,46,100,2957,
32,29,191,1741,
33,157,331,2114,
34,313,302,3246,
35,652,535,3530,
36,466,1059,2444,
37,1117,1443,2438,
38,2336,1079,3317,
39,2756,1714,2777,
40,2654,1973,4185,
41,2271,1966,2396,
42,3287,2384,3010,
43,4634,3007,3139,
44,4239,2674,3845,
45,3158,2416,2404,
46,2790,2858,2447,
47,4813,3573,2972,
48,4542,3716,2381,
49,3518,3023,3504,
50,2392,2923,2181,
51,3534,3417,2541,
52,4180,3434,2366,
53,3270,3902,2932,
54,2183,2738,2083,
55,2584,3083,2237,
56,2549,2934,2186,
57,3232,2607,1812,
58,1976,2769,2572,
59,2018,2869,2306,
60,2235,2993,2146,
61,1860,2693,1897,
62,2811,2470,2387,
63,1922,2366,2214,
64,1956,2693,2244,
65,1641,2341,1994,
66,2328,2409,1966,
67,2246,2337,2213,
68,1975,2377,2569,
69,1713,2268,2300,
70,1878,2249,2263,
71,2507,2307,2401,
72,2180,2173,2767,
73,1730,2221,2640,
74,1993,2194,2554,
75,1986,2326,2604,
76,2828,2054,2389,
77,1968,2389,3044,
78,2131,2292,2929,
79,2247,2388,3077,
80,2209,2569,2861,
81,3399,2412,2800,
82,2495,2474,2980,
83,2612,2684,3888,
84,2636,2450,2886,
85,3073,2864,2603,
86,3821,2744,2890,
87,3256,2787,3082,
88,3589,2706,2767,
89,3503,2837,2516,
90,5037,2810,2637,
91,5273,2930,2352,
92,4964,2553,2358,
93,4307,3128,2287,
94,4695,2853,2249,
95,6693,2653,2164,
96,5537,2738,1959,
97,5090,2750,2014,
98,4283,2554,2013,
99,9002,7199,5228,
100,5127,3843,1933,
101,4624,2692,2771,
102,4174,3141,2386,
103,4662,4190,3229,
104,5167,4563,3144,
105,4407,3527,2298,
106,3494,4457,2650,
107,3795,3566,3273,
108,3462,4530,3122,
109,4380,4192,2746,
110,4797,5112,3348,
111,4136,3600,3589,
112,3365,4349,4440,
113,3790,4155,3592,
114,4770,4850,4344,
115,4174,3933,5240,
116,2817,4151,3601,
117,3307,4143,5915,
118,3576,4545,5037,
119,3351,4735,4649,
120,3559,3738,3200,
121,3081,3083,5354,
122,2957,3780,5394,
123,2745,3892,4559,
124,3409,4153,3835,
125,3142,3070,5800,
126,2405,3257,3817,
127,2284,2908,6022,
128,2762,3565,5183,
129,2835,3106,4794,
130,2380,3390,3813,
131,1929,3590,4395,
132,2149,3208,4042,
133,2330,3214,3274,
134,2946,2920,2937,
135,1676,2796,3431,
136,2345,2867,2777,
137,2191,2595,3256,
138,2287,2562,2820,
139,2515,3002,2881,
140,2273,2677,2709,
141,1847,2320,3116,
142,1628,2609,2913,
143,2191,2874,2501,
144,2148,2214,2107,
145,1245,3032,1934,
146,1268,2744,1614,
147,1233,2362,1207,
148,1665,2074,952,
149,954,2396,857,
150,1099,1963,771,
151,835,1806,815,
152,809,1550,665,
153,1158,1307,647,
154,841,1235,612,
155,573,1130,618,
156,632,982,685,
157,652,919,689,
158,836,872,578,
159,518,905,588,
160,566,856,528,
161,542,715,610,
162,505,760,569,
163,716,659,539,
164,487,625,564,
165,491,606,553,
166,604,531,627,
167,462,490,587,
168,655,492,667,
169,429,476,527,
170,449,378,588,
171,360,451,635,
172,516,444,619,
173,512,433,521,
174,346,449,537,
175,324,429,532,
176,435,449,639,
177,486,432,579,
178,310,397,618,
179,377,332,517,
180,394,407,488,
181,286,365,415,
182,517,408,418,
183,345,361,366,
184,402,391,298,
185,278,372,287,
186,391,363,270,
187,474,426,295,
188,458,408,291,
189,232,441,253,
190,393,514,216,
191,514,431,218,
192,467,444,184,
193,257,433,238,
194,428,409,152,
195,358,405,152,
196,536,392,116,
197,327,414,126,
198,383,432,95,
199,385,392,118,
200,372,419,84,
201,426,388,67,
202,463,400,76,
203,401,398,72,
204,355,395,52,
205,375,309,57,
206,535,371,42,
207,388,403,37,
208,363,399,23,
209,367,364,19,
210,375,382,36,
211,541,374,20,
212,331,336,11,
213,378,397,21,
214,381,444,9,
215,335,379,10,
216,502,398,9,
217,372,411,9,
218,370,426,10,
219,351,393,7,
220,426,416,5,
221,418,403,3,
222,329,405,4,
223,329,391,2,
224,344,372,2,
225,423,315,2,
226,266,373,0,
227,278,348,1,
228,308,286,0,
229,238,272,1,
230,409,274,1,
231,299,290,0,
232,243,268,0,
233,223,253,0,
234,289,234,1,
235,389,280,0,
236,242,280,1,
237,201,214,0,
238,245,226,0,
239,204,255,0,
240,336,239,0,
241,194,183,0,
242,234,175,0,
243,172,170,0,
244,188,204,0,
245,258,157,0,
246,174,168,0,
247,131,148,0,
248,107,149,0,
249,186,111,1,
250,177,130,0,
251,83,106,0,
252,100,100,0,
253,129,85,0,
254,156,113,0,
255,1282,1208,0,
Means,103.81,107.67,96.16
STD,43.81,44.02,39.74
