Index,Red,Green,Blue
0,767,788,1338,
1,1,9,143,
2,0,9,185,
3,2,13,167,
4,1,22,200,
5,12,43,263,
6,1,66,347,
7,32,82,403,
8,39,94,533,
9,53,94,550,
10,52,179,1754,
11,77,322,1874,
12,309,1262,1427,
13,160,1558,978,
14,1273,445,1741,
15,1460,1025,1422,
16,837,1073,1072,
17,152,891,866,
18,1095,469,1090,
19,1034,797,900,
20,505,563,1212,
21,337,499,1032,
22,652,648,1288,
23,415,674,1229,
24,720,549,1547,
25,367,553,1721,
26,748,559,2125,
27,454,603,1794,
28,770,602,2138,
29,473,508,2459,
30,680,574,2420,
31,429,619,2611,
32,427,765,2260,
33,848,758,2500,
34,742,956,2554,
35,494,1130,2727,
36,582,1208,2357,
37,1004,1150,2139,
38,1231,1514,2178,
39,561,1553,2335,
40,1124,1748,2213,
41,1473,1453,2120,
42,713,1496,2000,
43,2219,1273,2047,
44,1882,1485,2276,
45,1574,1342,2248,
46,954,1562,2129,
47,1560,1239,2227,
48,1979,1451,2326,
49,1439,1291,2452,
50,1036,1366,2447,
51,1581,1396,2396,
52,1348,1437,2625,
53,1776,1444,2532,
54,1247,1369,2718,
55,1547,1402,2831,
56,1398,1355,2566,
57,2144,1364,2564,
58,1340,1251,2689,
59,1300,1340,2606,
60,1212,1174,2682,
61,1108,1340,2456,
62,1688,1231,2472,
63,1259,1313,2337,
64,1142,1353,2469,
65,1234,1253,2377,
66,1264,1324,2361,
67,1682,1368,2143,
68,1128,1384,2117,
69,1147,1434,2150,
70,1266,1473,2096,
71,1253,1574,1681,
72,1841,1641,1717,
73,1305,1585,1601,
74,1325,1704,1592,
75,1234,1716,1413,
76,1862,1701,1308,
77,1620,1761,1176,
78,1488,1706,1002,
79,1366,1675,1114,
80,1566,1729,925,
81,2154,1703,818,
82,1461,1690,646,
83,1439,1752,699,
84,1400,1752,604,
85,1381,1758,544,
86,2060,1646,465,
87,1430,1791,480,
88,1325,1647,453,
89,1435,1832,433,
90,1467,1721,348,
91,2042,1682,376,
92,1442,1759,340,
93,1377,1760,335,
94,1494,1695,278,
95,1447,1732,317,
96,2131,1700,291,
97,1434,1681,273,
98,1439,1697,247,
99,1460,1545,283,
100,1477,1637,227,
101,2004,1623,227,
102,1506,1719,229,
103,1351,1627,241,
104,1397,1475,249,
105,1824,1548,255,
106,1623,1651,261,
107,1437,1410,224,
108,1402,1478,238,
109,1355,1445,249,
110,1896,1411,267,
111,1333,1354,252,
112,1416,1279,273,
113,1204,1267,295,
114,1303,1185,299,
115,1714,1247,395,
116,1238,1049,371,
117,1163,965,362,
118,1081,957,362,
119,1184,890,320,
120,1527,927,338,
121,965,832,294,
122,911,763,293,
123,938,778,273,
124,795,764,298,
125,1100,701,335,
126,796,634,238,
127,704,632,241,
128,632,573,288,
129,759,505,271,
130,895,515,272,
131,599,449,290,
132,525,441,282,
133,624,460,267,
134,546,433,356,
135,572,436,389,
136,455,342,345,
137,456,336,309,
138,373,337,327,
139,540,321,319,
140,437,305,302,
141,421,363,259,
142,355,293,357,
143,461,293,321,
144,474,249,380,
145,368,266,348,
146,382,280,336,
147,334,286,336,
148,374,269,434,
149,450,286,347,
150,360,350,335,
151,312,292,308,
152,332,344,294,
153,355,305,274,
154,313,370,321,
155,311,378,266,
156,276,394,246,
157,299,359,240,
158,383,406,236,
159,294,387,249,
160,285,417,278,
161,280,469,223,
162,288,408,241,
163,347,413,288,
164,293,393,299,
165,379,518,296,
166,213,437,284,
167,322,405,293,
168,435,419,322,
169,329,484,371,
170,273,364,300,
171,377,393,351,
172,293,353,354,
173,396,359,405,
174,214,302,378,
175,329,275,444,
176,281,276,393,
177,233,255,334,
178,339,292,443,
179,301,249,447,
180,299,232,444,
181,235,271,420,
182,351,230,549,
183,337,219,643,
184,199,246,477,
185,250,219,542,
186,301,227,579,
187,334,190,479,
188,204,219,705,
189,243,234,601,
190,216,227,679,
191,187,207,663,
192,268,237,872,
193,178,273,816,
194,179,266,984,
195,170,249,998,
196,189,291,1241,
197,236,347,1066,
198,195,369,1316,
199,183,355,1409,
200,188,384,1648,
201,224,394,1188,
202,312,399,1686,
203,212,364,1626,
204,342,439,1839,
205,253,486,1298,
206,332,431,1644,
207,339,483,1542,
208,377,510,1767,
209,311,574,2021,
210,311,488,2245,
211,477,498,1846,
212,417,608,2170,
213,299,682,2349,
214,335,531,2914,
215,467,522,2355,
216,543,626,2446,
217,305,576,2543,
218,459,600,2855,
219,465,513,3289,
220,323,663,3912,
221,607,608,3357,
222,559,640,3660,
223,456,662,3662,
224,383,609,4427,
225,628,907,3542,
226,611,787,3214,
227,315,966,2951,
228,495,1084,3173,
229,508,1012,2915,
230,648,1200,2835,
231,305,1206,2349,
232,544,1266,2548,
233,435,1130,2657,
234,277,1414,2896,
235,617,1471,2417,
236,577,1239,2882,
237,305,1283,2820,
238,463,1580,3002,
239,604,1303,3677,
240,683,1189,3301,
241,396,1342,3179,
242,591,1423,3139,
243,672,1312,3629,
244,487,1408,3196,
245,936,1677,2842,
246,713,1485,2780,
247,755,1980,2795,
248,675,1765,3186,
249,893,2166,3257,
250,1285,1931,2914,
251,912,1872,2840,
252,724,2804,3233,
253,1158,2516,3048,
254,965,2222,2808,
255,194633,160254,49555,
Means,181.54,177.26,155.66
STD,86.68,87.32,90.90
