Index,Red,Green,Blue
0,0,121,634,
1,21,56,159,
2,0,68,160,
3,25,110,228,
4,2,121,303,
5,17,247,1212,
6,28,665,1998,
7,42,2062,5470,
8,16,4081,6275,
9,185,5232,6776,
10,130,5179,11700,
11,1093,7416,11412,
12,461,6882,6972,
13,2937,7602,6007,
14,5480,6937,6428,
15,5097,5262,5251,
16,2550,5092,3570,
17,8593,5971,3445,
18,5004,4003,3070,
19,8266,2916,2346,
20,4732,3424,3047,
21,6606,3282,2743,
22,3308,2183,2864,
23,4295,2117,2703,
24,5489,2197,3526,
25,3143,2104,2752,
26,2519,1673,2742,
27,2725,1517,2514,
28,2168,1618,2721,
29,2733,1524,2620,
30,1669,1622,2875,
31,2125,2078,2268,
32,1280,1881,2451,
33,2233,1928,2618,
34,1458,1930,2743,
35,1668,2084,2254,
36,1201,2145,2244,
37,1116,2260,2304,
38,1950,2162,2027,
39,1642,2362,2258,
40,1302,2419,2024,
41,1138,2674,1900,
42,1593,2304,1807,
43,1940,2281,1999,
44,1236,2260,2031,
45,1155,2379,1968,
46,1550,1934,1963,
47,1319,1961,1839,
48,2051,1974,2284,
49,1446,2003,2383,
50,1572,2076,2605,
51,1420,2138,2015,
52,1579,2467,2477,
53,2261,2332,2753,
54,1440,2204,3070,
55,1730,2314,2290,
56,1802,2789,2645,
57,2181,2776,2903,
58,2779,2574,2666,
59,2488,2565,3430,
60,2252,3061,3037,
61,2624,2647,3206,
62,3645,3083,2782,
63,2872,2748,3590,
64,2530,3103,3449,
65,3061,2748,2957,
66,2664,3048,2851,
67,3678,2888,3644,
68,3495,3431,3411,
69,3576,3012,3460,
70,2640,2830,2765,
71,3097,3176,3148,
72,4745,3310,3025,
73,3595,2828,3211,
74,2889,2604,2445,
75,3274,2758,2816,
76,4260,2958,2680,
77,3763,2780,2533,
78,2826,2429,3056,
79,2782,2623,2618,
80,3309,2427,2182,
81,3887,2262,2108,
82,2989,2656,2356,
83,2546,2288,2610,
84,3209,2743,2012,
85,2602,2440,1745,
86,3829,2371,2068,
87,2628,2539,2138,
88,2903,2706,1992,
89,2638,2468,1667,
90,2534,2173,1710,
91,4013,2479,1730,
92,3023,2471,1867,
93,2669,2308,1783,
94,2462,2077,1665,
95,2942,2253,1713,
96,3564,2028,1868,
97,2743,2300,1915,
98,2329,2538,1610,
99,6668,6133,6091,
100,3602,2040,1598,
101,2538,2030,1951,
102,2060,1875,1710,
103,2108,1852,1737,
104,2074,1889,1649,
105,3154,2257,2043,
106,2124,1905,1881,
107,2137,1803,1762,
108,1989,2015,1639,
109,2184,1961,1582,
110,3240,1720,1732,
111,2278,1872,1872,
112,2089,1904,1687,
113,2125,1909,1808,
114,2068,1821,1781,
115,2951,1794,1904,
116,2236,2038,1825,
117,2155,1943,1800,
118,1944,1754,1731,
119,2395,2001,1795,
120,2627,1907,2088,
121,2251,1950,1908,
122,1977,1800,1925,
123,1985,1748,1923,
124,2678,2097,1996,
125,2079,1957,1856,
126,1706,1688,1994,
127,1889,1766,1696,
128,1784,1789,1671,
129,2437,1669,1851,
130,1703,1899,1735,
131,1670,1652,1689,
132,1509,1752,1590,
133,1460,1626,1571,
134,2098,1648,1475,
135,1679,1460,1478,
136,1428,1501,1520,
137,1415,1492,1307,
138,1854,1505,1298,
139,1582,1414,1306,
140,1538,1398,1449,
141,1349,1337,1438,
142,1327,1200,1370,
143,1869,1366,1407,
144,1476,1227,1362,
145,1428,1318,1278,
146,1374,1317,1366,
147,1436,1180,1179,
148,1893,1176,1178,
149,1290,1299,1153,
150,1307,1354,1227,
151,1357,1219,1194,
152,1218,1422,1014,
153,1820,1304,1118,
154,1193,1293,1063,
155,1303,1136,1007,
156,1197,1190,846,
157,1209,1187,826,
158,1738,1188,818,
159,1212,1134,873,
160,1186,1062,803,
161,1167,1071,690,
162,1356,990,617,
163,1257,1059,634,
164,1037,1108,582,
165,970,1013,543,
166,986,1093,538,
167,1310,956,454,
168,881,1021,507,
169,843,1014,462,
170,779,957,382,
171,707,834,368,
172,956,837,326,
173,631,827,373,
174,670,832,287,
175,517,676,294,
176,598,754,282,
177,561,663,267,
178,494,638,246,
179,483,570,240,
180,422,496,212,
181,604,535,191,
182,430,466,260,
183,353,386,191,
