Index,Red,Green,Blue
0,767,767,7967,
1,0,0,527,
2,0,0,585,
3,0,0,571,
4,0,0,529,
5,0,0,578,
6,0,0,539,
7,0,0,571,
8,0,0,552,
9,0,0,570,
10,0,0,515,
11,0,0,499,
12,0,1,504,
13,0,0,482,
14,0,0,440,
15,0,3,403,
16,2,2,425,
17,2,5,445,
18,2,3,472,
19,2,9,429,
20,1,21,594,
21,3,31,784,
22,6,50,824,
23,12,82,912,
24,28,112,1189,
25,5,97,1351,
26,53,170,1802,
27,109,181,2083,
28,118,182,2626,
29,19,131,3486,
30,106,162,4463,
31,75,213,4113,
32,52,205,4682,
33,108,322,4684,
34,104,453,4877,
35,108,670,4754,
36,111,1103,4708,
37,318,1445,5453,
38,450,1917,4917,
39,516,2218,6275,
40,442,2380,5639,
41,763,2410,6603,
42,980,3073,5984,
43,1090,2977,7288,
44,627,3007,6441,
45,961,2925,7977,
46,967,2821,7972,
47,1023,3070,7312,
48,1269,3099,7357,
49,1100,3139,6238,
50,1113,3567,6395,
51,1238,3544,5433,
52,1410,3432,4836,
53,1434,3825,4608,
54,1289,3770,4318,
55,1890,4018,4276,
56,2251,3324,4238,
57,2756,3782,4317,
58,2325,4328,4114,
59,2362,4709,4003,
60,2311,3492,3679,
61,3603,3661,3917,
62,3701,3019,3850,
63,3292,2767,3996,
64,2485,2932,3736,
65,4730,2541,3885,
66,4643,2188,4939,
67,4034,2267,5133,
68,2344,2026,4849,
69,2955,2014,5077,
70,2792,1994,5507,
71,3056,1828,5033,
72,2744,1654,5694,
73,2709,1768,5157,
74,3130,1836,5022,
75,3163,1783,4203,
76,3814,1986,4487,
77,2971,2136,3871,
78,3411,1981,2823,
79,3269,2425,3201,
80,4133,2300,2156,
81,4523,2419,2281,
82,3813,2687,1734,
83,3879,2445,1598,
84,4029,2667,1366,
85,5153,3172,1329,
86,4641,3099,1190,
87,4139,3090,1135,
88,3796,4149,1198,
89,4278,4219,1136,
90,4515,4066,1047,
91,4459,3992,1010,
92,3409,4994,1061,
93,4160,5105,971,
94,5220,3946,1000,
95,3859,4455,1031,
96,5136,4446,990,
97,3805,3725,967,
98,4229,3885,978,
99,4276,3746,1005,
100,3838,3520,922,
101,4662,2733,1017,
102,4578,2869,875,
103,4196,2794,1059,
104,4172,2578,820,
105,4564,2372,855,
106,4219,2399,801,
107,2916,2209,819,
108,3327,1904,791,
109,3563,1878,670,
110,3659,1938,721,
111,2523,1794,609,
112,3207,2039,632,
113,2590,1896,561,
114,2642,2001,567,
115,2536,1899,556,
116,2282,1921,577,
117,1856,1925,528,
118,2199,1926,518,
119,1985,1949,497,
120,1847,1992,544,
121,1417,2217,534,
122,1817,2310,513,
123,1768,2621,547,
124,1527,2574,488,
125,1527,2466,588,
126,1369,2849,507,
127,1421,2788,538,
128,1504,2556,517,
129,1404,2733,580,
130,1284,2552,596,
131,1241,2460,516,
132,1192,2199,534,
133,1537,1980,632,
134,1396,1988,678,
135,1121,1999,564,
136,1145,1930,630,
137,1307,2105,660,
138,1566,2181,682,
139,1393,2456,827,
140,1171,2542,657,
141,1353,2505,717,
142,1296,2621,764,
143,1621,2847,832,
144,1305,2391,732,
145,1290,2360,706,
146,1291,2259,724,
147,1385,2263,781,
148,1658,1936,915,
149,1297,1999,720,
150,1243,2094,794,
151,1198,1817,781,
152,1366,1741,719,
153,1630,1741,749,
154,1134,1376,649,
155,1072,1401,632,
156,1103,1292,635,
157,1196,1155,705,
158,1226,1134,572,
159,880,1032,607,
160,880,908,561,
161,903,866,567,
162,941,869,623,
163,1056,861,513,
164,781,837,550,
165,826,807,613,
166,728,756,612,
167,913,792,499,
168,849,757,526,
169,739,748,514,
170,652,737,553,
171,685,841,591,
172,820,807,513,
173,798,820,549,
174,674,891,523,
175,732,870,605,
176,769,928,533,
177,923,895,540,
178,788,982,509,
179,726,1075,520,
180,752,987,559,
181,744,1065,511,
182,967,1006,523,
183,841,1112,506,
184,834,1132,571,
185,821,1088,512,
186,893,1201,499,
187,1062,1195,518,
188,886,1215,510,
189,728,1196,578,
190,817,1201,574,
191,848,1238,459,
192,1024,1279,529,
193,785,1361,561,
194,885,1452,533,
195,867,1365,472,
196,947,1378,476,
197,969,1284,509,
198,834,1293,480,
199,869,1258,512,
200,745,1177,432,
201,924,1246,503,
202,984,1118,492,
203,822,1003,532,
204,791,1039,454,
205,817,1013,521,
206,994,875,485,
207,932,751,461,
208,731,772,547,
209,783,742,428,
210,771,674,465,
211,1003,646,422,
212,778,556,482,
213,854,612,450,
214,824,518,436,
215,834,538,429,
216,858,514,435,
217,981,535,517,
218,861,543,466,
219,834,471,404,
220,1027,472,437,
221,1149,446,478,
222,957,434,463,
223,1069,439,396,
224,1109,418,426,
225,1251,419,380,
226,1104,345,403,
227,1161,384,403,
228,1354,330,406,
229,1057,288,417,
230,1255,306,338,
231,1141,283,310,
232,1183,263,354,
233,1188,240,295,
234,998,276,265,
235,1109,268,249,
236,995,234,246,
237,1011,223,192,
238,1036,261,183,
239,911,212,174,
240,914,177,167,
241,1014,184,166,
242,922,149,150,
243,973,130,154,
244,808,118,130,
245,829,124,155,
246,767,90,128,
247,795,93,160,
248,870,100,132,
249,684,72,142,
250,819,108,152,
251,744,98,136,
252,737,80,107,
253,928,63,141,
254,723,67,135,
255,6959,1660,2247,
Means,122.66,110.60,76.79
STD,57.45,50.80,53.61
